scorer,,,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab
bodyparts,,,pupil_top,pupil_top,pupil_bot,pupil_bot,pupil_right,pupil_right,pupil_left,pupil_left,lid_top,lid_top,lid_bot,lid_bot,corner_right,corner_right,corner_left,corner_left,nose_tip,nose_tip,whisker1,whisker1,whisker2,whisker2,whisker3,whisker3,nose_bot,nose_bot,mouth,mouth,tongue,tongue,watertube,watertube
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,2022-07-04_101_EB017_eyeCamLeft,img24199.png,487.4557189941406,66.17449188232422,493.29949951171875,82.16383361816406,501.3925476074219,72.98271942138672,481.6071472167969,78.32373046875,485.58402077111,35.427400979833294,498.4951477050781,121.14340209960938,545.3914184570312,75.47785949707031,421.2653503417969,86.04560852050781,19.948545455932617,218.4126739501953,226.45834350585938,194.0550994873047,263.57659912109375,194.93576049804688,247.02078247070312,231.56504821777344,86.98190307617188,289.88787841796875,204.8420867919922,342.14404296875,,,131.95201110839844,456.4485168457031
labeled-data,2022-07-04_101_EB017_eyeCamLeft,img24200.png,487.9394836425781,66.09259796142578,493.8221130371094,82.74414825439453,501.889404296875,72.80686950683594,481.8117980957031,78.58748626708984,463.6399841308594,34.9340705871582,498.45440673828125,121.80595397949219,545.7689208984375,75.1966552734375,421.0089111328125,85.38482666015625,17.721729278564453,222.09120178222656,227.92774963378906,195.33050537109375,262.2113037109375,194.6555633544922,250.04428100585938,230.9856414794922,87.81121063232422,287.8446960449219,201.00917053222656,343.53167724609375,,,132.567138671875,456.7176818847656
labeled-data,2022-07-04_101_EB017_eyeCamLeft,img24201.png,487.81231689453125,65.72843933105469,493.7749328613281,82.15838623046875,500.9978942871094,71.96756744384766,481.3568420410156,78.18893432617188,461.8770446777344,36.844608306884766,498.67388916015625,120.77957153320312,545.7042236328125,76.77543640136719,420.52587890625,85.64603424072266,18.135082244873047,227.73158264160156,227.789794921875,195.38597106933594,261.6293029785156,194.95028686523438,248.2829132080078,231.86956787109375,86.58016967773438,288.7707824707031,200.21876525878906,344.1393737792969,,,129.98855590820312,458.7065734863281
labeled-data,2022-07-04_101_EB017_eyeCamLeft,img26128.png,491.07763671875,67.69615936279297,496.0295715332031,85.3309555053711,505.75213623046875,74.33787536621094,482.4656066894531,80.4920883178711,487.3715515136719,29.375532150268555,499.2620544433594,120.7712173461914,547.0966186523438,77.6556625366211,421.6634216308594,84.00617218017578,0.3862495422363281,220.3160400390625,228.77520751953125,206.01406860351562,269.14251708984375,222.02528381347656,252.38819885253906,241.7447509765625,68.47085571289062,287.6788330078125,199.02167559222562,365.36359913689006,,,115.89185333251953,471.8660583496094
labeled-data,2022-07-04_101_EB017_eyeCamLeft,img26129.png,491.1293029785156,67.89183807373047,495.6564025878906,85.3619384765625,505.9847412109375,74.32060241699219,481.8052062988281,80.45568084716797,487.1439514160156,30.020280838012695,499.1762390136719,118.3577651977539,547.58642578125,76.97710418701172,422.2624816894531,83.35896301269531,2.406874562563189,221.8925140568346,205.76097106933594,191.12893676757812,243.26956176757812,197.95091247558594,239.28369140625,240.6695098876953,73.53858947753906,292.2174987792969,163.1889092623145,358.72146664352533,,,119.99239349365234,471.9336242675781
labeled-data,2022-07-04_101_EB017_eyeCamLeft,img26130.png,491.455322265625,67.22111511230469,496.1654052734375,85.04271697998047,506.3290100097656,73.71389770507812,482.5010986328125,80.0708999633789,487.4361877441406,29.599586486816406,499.3094177246094,117.45235443115234,547.8324584960938,76.30281066894531,422.486572265625,83.26448822021484,0.5404774865853028,216.2072083831937,203.533447265625,199.6436767578125,242.1405487060547,200.42234802246094,235.4879150390625,243.43736267089844,75.4771499633789,292.16741943359375,170.34315490722656,340.1536560058594,,,119.30790710449219,470.2528991699219
labeled-data,2022-07-04_101_EB017_eyeCamLeft,img26337.png,490.5436706542969,68.14453125,495.7959289550781,86.27481079101562,505.36260986328125,74.85231018066406,481.8488464355469,80.24110412597656,485.3704833984375,32.34410858154297,498.2943115234375,121.02676391601562,548.4909057617188,76.53357696533203,421.5811767578125,85.6611557006836,1.4736760245742175,243.0106842790962,192.69790649414062,201.37582397460938,225.98081970214844,205.93089294433594,214.9224395751953,254.30108642578125,64.96843719482422,297.1033935546875,156.5137573617161,348.0519530500054,,,126.72576586934474,471.8057391710086
labeled-data,2022-07-04_101_EB017_eyeCamLeft,img26338.png,490.8310852050781,68.00466918945312,496.47601318359375,86.2471694946289,505.51910400390625,74.45382690429688,481.5237731933594,80.31988525390625,487.5199890136719,31.005388259887695,498.95361328125,120.9416732788086,548.2346801757812,76.56049346923828,421.46905517578125,85.08506774902344,1.4736760245742175,249.35659638388603,204.4188690185547,190.8881072998047,237.55506896972656,199.3570556640625,236.3941650390625,243.3848876953125,75.34565734863281,300.65435791015625,162.75796508789062,343.1702575683594,,,131.0499006960049,472.7389377089976
labeled-data,2022-07-04_101_EB017_eyeCamLeft,img26339.png,490.4218444824219,68.16362762451172,495.5301208496094,86.27549743652344,505.2496643066406,74.65071868896484,481.72601318359375,80.27559661865234,486.3052062988281,31.744102478027344,499.62054443359375,120.9181900024414,548.322509765625,76.86927032470703,421.6209716796875,85.07513427734375,,,204.66775512695312,194.00387573242188,238.97396850585938,197.7813262939453,239.32337951660156,240.98097229003906,76.88444519042969,300.9313049316406,159.4741973876953,341.81964111328125,,,119.28271484375,475.27508544921875
labeled-data,2022-07-04_101_EB017_eyeCamLeft,img51021.png,489.85919189453125,66.1315689086914,496.0811767578125,81.85175323486328,503.5528259277344,72.24854278564453,482.7541809082031,79.10913848876953,464.9103088378906,34.66716384887695,499.1936340332031,121.19200897216797,546.3875122070312,75.45189666748047,419.89801025390625,86.19804382324219,10.15811824798584,235.56521606445312,220.3909454345703,203.87286376953125,259.80450439453125,200.2734375,238.0534210205078,239.10450744628906,88.78654479980469,304.8984680175781,177.4288787841797,347.0888366699219,,,130.32142639160156,464.4373779296875
labeled-data,2022-07-04_101_EB017_eyeCamLeft,img51022.png,490.6739196777344,65.70825958251953,496.2392883300781,81.061767578125,503.59124755859375,71.6439208984375,484.03643798828125,78.24913787841797,465.58154296875,34.68486404418945,499.0638122558594,121.56644439697266,546.33154296875,77.6746826171875,420.3408508300781,85.4439926147461,11.731773376464844,234.97911071777344,222.0723419189453,201.22792053222656,260.965576171875,200.82069396972656,241.07427978515625,235.9214324951172,81.96207427978516,296.4306335449219,174.20370483398438,345.7154846191406,,,131.3405303955078,463.7413024902344
labeled-data,2022-07-04_101_EB017_eyeCamLeft,img51023.png,490.50408935546875,65.8945541381836,495.92523193359375,81.32950592041016,503.423095703125,72.07238006591797,483.4580078125,78.82830047607422,469.74261474609375,32.33589172363281,499.0102233886719,121.17195129394531,546.5015869140625,77.54047393798828,420.28802490234375,86.19400024414062,11.404302597045898,232.25057983398438,221.60655212402344,200.7633819580078,257.4998779296875,197.35256958007812,242.0588836669922,234.79283142089844,87.16932678222656,298.58538818359375,173.37742614746094,344.9283752441406,,,130.064697265625,464.2239074707031
