scorer,,,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000,DLC_resnet50_PupilDetectorApr28shuffle1_350000
bodyparts,,,pupil_top,pupil_top,pupil_top,pupil_bot,pupil_bot,pupil_bot,pupil_right,pupil_right,pupil_right,pupil_left,pupil_left,pupil_left,lid_top,lid_top,lid_top,lid_bot,lid_bot,lid_bot,corner_right,corner_right,corner_right,corner_left,corner_left,corner_left,nose_tip,nose_tip,nose_tip,whisker1,whisker1,whisker1,whisker2,whisker2,whisker2,whisker3,whisker3,whisker3,nose_bot,nose_bot,nose_bot,mouth,mouth,mouth,tongue,tongue,tongue,watertube,watertube,watertube
coords,,,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
labeled-data,2022-07-04_101_EB017_eyeCamLeft,img24199.png,487.4557189941406,66.17449188232422,0.9998550415039062,493.29949951171875,82.16383361816406,0.9999626278877258,501.3925476074219,72.98271942138672,0.999947190284729,481.6071472167969,78.32373046875,0.9997692108154297,463.187255859375,36.360599517822266,0.7966437935829163,498.4951477050781,121.14340209960938,0.948081910610199,545.3914184570312,75.47785949707031,0.12271326035261154,421.2653503417969,86.04560852050781,0.9112613201141357,19.948545455932617,218.4126739501953,0.9966861605644226,226.45834350585938,194.0550994873047,0.9960162043571472,263.57659912109375,194.93576049804688,0.9947274923324585,247.02078247070312,231.56504821777344,0.870975911617279,86.98190307617188,289.88787841796875,0.9907907843589783,204.8420867919922,342.14404296875,0.9581136703491211,263.8142395019531,204.44287109375,0.010486789979040623,131.95201110839844,456.4485168457031,0.9989414811134338
labeled-data,2022-07-04_101_EB017_eyeCamLeft,img24200.png,487.9394836425781,66.09259796142578,0.9998787641525269,493.8221130371094,82.74414825439453,0.999971866607666,501.889404296875,72.80686950683594,0.9999467134475708,481.8117980957031,78.58748626708984,0.9997574090957642,463.6399841308594,34.9340705871582,0.5433058738708496,498.45440673828125,121.80595397949219,0.9024225473403931,545.7689208984375,75.1966552734375,0.2691202461719513,421.0089111328125,85.38482666015625,0.9110850691795349,17.721729278564453,222.09120178222656,0.9955829381942749,227.92774963378906,195.33050537109375,0.9912396669387817,262.2113037109375,194.6555633544922,0.9899179339408875,250.04428100585938,230.9856414794922,0.7513145804405212,87.81121063232422,287.8446960449219,0.9804914593696594,201.00917053222656,343.53167724609375,0.9592931866645813,265.156005859375,203.97142028808594,0.006404085084795952,132.567138671875,456.7176818847656,0.9994004964828491
labeled-data,2022-07-04_101_EB017_eyeCamLeft,img24201.png,487.81231689453125,65.72843933105469,0.9998648762702942,493.7749328613281,82.15838623046875,0.999968945980072,500.9978942871094,71.96756744384766,0.9999347925186157,481.3568420410156,78.18893432617188,0.9997484087944031,461.8770446777344,36.844608306884766,0.7251616716384888,498.67388916015625,120.77957153320312,0.8984501957893372,545.7042236328125,76.77543640136719,0.2928667962551117,420.52587890625,85.64603424072266,0.7752888202667236,18.135082244873047,227.73158264160156,0.9962093234062195,227.789794921875,195.38597106933594,0.9891273379325867,261.6293029785156,194.95028686523438,0.9900148510932922,248.2829132080078,231.86956787109375,0.8099799752235413,86.58016967773438,288.7707824707031,0.9988011121749878,200.21876525878906,344.1393737792969,0.9890850782394409,275.1986999511719,348.2197265625,0.004302222281694412,129.98855590820312,458.7065734863281,0.9987248182296753
labeled-data,2022-07-04_101_EB017_eyeCamLeft,img26337.png,490.5436706542969,68.14453125,0.9999678134918213,495.7959289550781,86.27481079101562,0.999976634979248,505.36260986328125,74.85231018066406,0.9999681711196899,481.8488464355469,80.24110412597656,0.9999269247055054,485.3704833984375,32.34410858154297,0.9691402316093445,498.2943115234375,121.02676391601562,0.9901763796806335,548.4909057617188,76.53357696533203,0.5412042140960693,421.5811767578125,85.6611557006836,0.9989016652107239,-4.4065704345703125,250.4762725830078,0.8478120565414429,192.69790649414062,201.37582397460938,0.9916959404945374,225.98081970214844,205.93089294433594,0.8580121994018555,214.9224395751953,254.30108642578125,0.8775810599327087,64.96843719482422,297.1033935546875,0.9993995428085327,160.24655151367188,340.58636474609375,0.8821269273757935,116.15508270263672,410.6884765625,0.011096594855189323,114.59418487548828,483.02630615234375,0.9258471131324768
labeled-data,2022-07-04_101_EB017_eyeCamLeft,img26338.png,490.8310852050781,68.00466918945312,0.9999613761901855,496.47601318359375,86.2471694946289,0.999971866607666,505.51910400390625,74.45382690429688,0.9999603033065796,481.5237731933594,80.31988525390625,0.9998992681503296,487.5199890136719,31.005388259887695,0.9462149739265442,498.95361328125,120.9416732788086,0.9916399717330933,548.2346801757812,76.56049346923828,0.575806736946106,421.46905517578125,85.08506774902344,0.998420238494873,-2.795621395111084,250.289794921875,0.9703617095947266,204.4188690185547,190.8881072998047,0.9872863292694092,237.55506896972656,199.3570556640625,0.9396520853042603,236.3941650390625,243.3848876953125,0.9282549023628235,75.34565734863281,300.65435791015625,0.9989197850227356,162.75796508789062,343.1702575683594,0.9691417813301086,158.83993530273438,450.9442138671875,0.002271877834573388,118.91831970214844,481.7716064453125,0.99124675989151
labeled-data,2022-07-04_101_EB017_eyeCamLeft,img26339.png,490.4218444824219,68.16362762451172,0.9999567270278931,495.5301208496094,86.27549743652344,0.9999792575836182,505.2496643066406,74.65071868896484,0.9999585151672363,481.72601318359375,80.27559661865234,0.9999245405197144,486.3052062988281,31.744102478027344,0.9544562697410583,499.62054443359375,120.9181900024414,0.994045078754425,548.322509765625,76.86927032470703,0.4753537178039551,421.6209716796875,85.07513427734375,0.9972250461578369,-3.1974987983703613,245.257568359375,0.9718847274780273,204.66775512695312,194.00387573242188,0.9585899710655212,238.97396850585938,197.7813262939453,0.8427293300628662,239.32337951660156,240.98097229003906,0.6201944351196289,76.88444519042969,300.9313049316406,0.9992268085479736,159.4741973876953,341.81964111328125,0.6143925189971924,140.08018493652344,452.8347473144531,0.002696321113035083,119.28271484375,475.27508544921875,0.958868682384491
labeled-data,2022-07-04_101_EB017_eyeCamLeft,img26128.png,491.07763671875,67.69615936279297,0.9999569058418274,496.0295715332031,85.3309555053711,0.9999744892120361,505.75213623046875,74.33787536621094,0.999945878982544,482.4656066894531,80.4920883178711,0.999904990196228,487.3715515136719,29.375532150268555,0.9221072196960449,499.2620544433594,120.7712173461914,0.993949830532074,547.0966186523438,77.6556625366211,0.5670254826545715,421.6634216308594,84.00617218017578,0.9985474348068237,0.3862495422363281,220.3160400390625,0.9774271845817566,228.77520751953125,206.01406860351562,0.607106626033783,269.14251708984375,222.02528381347656,0.3956112563610077,252.38819885253906,241.7447509765625,0.8136009573936462,68.47085571289062,287.6788330078125,0.9995145201683044,550.8375244140625,263.64495849609375,0.6417167782783508,66.43242645263672,278.8611145019531,0.002422913908958435,115.89185333251953,471.8660583496094,0.9979590773582458
labeled-data,2022-07-04_101_EB017_eyeCamLeft,img26129.png,491.1293029785156,67.89183807373047,0.9999487400054932,495.6564025878906,85.3619384765625,0.9999792575836182,505.9847412109375,74.32060241699219,0.9999276995658875,481.8052062988281,80.45568084716797,0.9999010562896729,487.1439514160156,30.020280838012695,0.9105152487754822,499.1762390136719,118.3577651977539,0.9944499731063843,547.58642578125,76.97710418701172,0.4011731743812561,422.2624816894531,83.35896301269531,0.9985294938087463,-0.9245843887329102,223.7589111328125,0.9577962160110474,205.76097106933594,191.12893676757812,0.9464393854141235,243.26956176757812,197.95091247558594,0.8197624683380127,239.28369140625,240.6695098876953,0.42065706849098206,73.53858947753906,292.2174987792969,0.9986215233802795,554.1990966796875,264.4684143066406,0.8949881792068481,190.68582153320312,324.563232421875,0.003916408400982618,119.99239349365234,471.9336242675781,0.9976972341537476
labeled-data,2022-07-04_101_EB017_eyeCamLeft,img26130.png,491.455322265625,67.22111511230469,0.9999501705169678,496.1654052734375,85.04271697998047,0.9999852776527405,506.3290100097656,73.71389770507812,0.9999061226844788,482.5010986328125,80.0708999633789,0.9999117255210876,487.4361877441406,29.599586486816406,0.9238101243972778,499.3094177246094,117.45235443115234,0.9945091009140015,547.8324584960938,76.30281066894531,0.3018706440925598,422.486572265625,83.26448822021484,0.9978563189506531,-0.08255338668823242,229.27198791503906,0.972055196762085,203.533447265625,199.6436767578125,0.6757617592811584,242.1405487060547,200.42234802246094,0.9578315019607544,235.4879150390625,243.43736267089844,0.992815375328064,75.4771499633789,292.16741943359375,0.9991206526756287,170.34315490722656,340.1536560058594,0.9933884143829346,125.52569580078125,471.3442077636719,0.001100106630474329,119.30790710449219,470.2528991699219,0.998632550239563
labeled-data,2022-07-04_101_EB017_eyeCamLeft,img51021.png,489.85919189453125,66.1315689086914,0.9999393820762634,496.0811767578125,81.85175323486328,0.9999682903289795,503.5528259277344,72.24854278564453,0.9999337196350098,482.7541809082031,79.10913848876953,0.9999417662620544,464.9103088378906,34.66716384887695,0.6636706590652466,499.1936340332031,121.19200897216797,0.9492924809455872,546.3875122070312,75.45189666748047,0.38334769010543823,419.89801025390625,86.19804382324219,0.9052428603172302,10.15811824798584,235.56521606445312,0.9995401501655579,220.3909454345703,203.87286376953125,0.9596790075302124,259.80450439453125,200.2734375,0.9710278511047363,238.0534210205078,239.10450744628906,0.989028811454773,88.78654479980469,304.8984680175781,0.9700489044189453,177.4288787841797,347.0888366699219,0.9986045360565186,267.5140686035156,361.22314453125,0.007816754281520844,130.32142639160156,464.4373779296875,0.9936156868934631
labeled-data,2022-07-04_101_EB017_eyeCamLeft,img51022.png,490.6739196777344,65.70825958251953,0.9999114871025085,496.2392883300781,81.061767578125,0.9999822974205017,503.59124755859375,71.6439208984375,0.999969482421875,484.03643798828125,78.24913787841797,0.9999618530273438,465.58154296875,34.68486404418945,0.6338374018669128,499.0638122558594,121.56644439697266,0.9184665679931641,546.33154296875,77.6746826171875,0.5343972444534302,420.3408508300781,85.4439926147461,0.907464325428009,11.731773376464844,234.97911071777344,0.998846173286438,222.0723419189453,201.22792053222656,0.9303274154663086,260.965576171875,200.82069396972656,0.9433556795120239,241.07427978515625,235.9214324951172,0.9839860200881958,81.96207427978516,296.4306335449219,0.969825267791748,174.20370483398438,345.7154846191406,0.9994484782218933,266.5272521972656,361.281494140625,0.008561980910599232,131.3405303955078,463.7413024902344,0.9952749013900757
labeled-data,2022-07-04_101_EB017_eyeCamLeft,img51023.png,490.50408935546875,65.8945541381836,0.999897837638855,495.92523193359375,81.32950592041016,0.9999810457229614,503.423095703125,72.07238006591797,0.9999572038650513,483.4580078125,78.82830047607422,0.99993896484375,469.74261474609375,32.33589172363281,0.42547908425331116,499.0102233886719,121.17195129394531,0.9555606842041016,546.5015869140625,77.54047393798828,0.4116347134113312,420.28802490234375,86.19400024414062,0.9680319428443909,11.404302597045898,232.25057983398438,0.9991968274116516,221.60655212402344,200.7633819580078,0.9294387102127075,257.4998779296875,197.35256958007812,0.9600326418876648,242.0588836669922,234.79283142089844,0.9828445911407471,87.16932678222656,298.58538818359375,0.9778831005096436,173.37742614746094,344.9283752441406,0.9969797134399414,265.7337646484375,362.44049072265625,0.007728791795670986,130.064697265625,464.2239074707031,0.9947772026062012
labeled-data,2022-07-04_101_EB017_eyeCamLeft,img77508.png,493.671630859375,65.68016052246094,0.9997516870498657,500.035888671875,82.51956939697266,0.9999932646751404,507.2405700683594,72.74181365966797,0.9999557137489319,487.671875,78.87237548828125,0.9998143911361694,472.41839599609375,32.719966888427734,0.5998513698577881,501.8460998535156,121.86827087402344,0.9503316283226013,545.3186645507812,76.59690856933594,0.35882583260536194,422.6722717285156,87.27424621582031,0.9860997200012207,8.73766040802002,234.91607666015625,0.9988719820976257,226.00132751464844,193.80946350097656,0.9992546439170837,262.6729736328125,190.2075653076172,0.9928073287010193,247.9802703857422,231.4600372314453,0.9683451056480408,99.80117797851562,301.17413330078125,0.8855167627334595,195.48193359375,340.1692199707031,0.9652708768844604,261.6395568847656,204.4265594482422,0.011566373519599438,132.21925354003906,463.3315124511719,0.9991744756698608
labeled-data,2022-07-04_101_EB017_eyeCamLeft,img77509.png,493.717529296875,64.69857788085938,0.9997847676277161,499.9396667480469,82.59990692138672,0.9999935030937195,506.8232116699219,72.43244171142578,0.9999625086784363,487.2990417480469,78.5208511352539,0.9998278617858887,472.120849609375,32.36220932006836,0.7441125512123108,500.2431335449219,121.61691284179688,0.9412937760353088,533.7241821289062,69.03913116455078,0.17458651959896088,422.1930847167969,87.385986328125,0.9895124435424805,9.340356826782227,236.0603790283203,0.9990663528442383,225.95150756835938,195.2943878173828,0.9997010231018066,264.8879089355469,192.11050415039062,0.9971619248390198,244.99644470214844,231.60049438476562,0.9746754169464111,96.37184143066406,298.52490234375,0.94743812084198,194.57139587402344,341.0869140625,0.9540576338768005,261.9026794433594,204.70147705078125,0.008016216568648815,131.67576599121094,463.5716857910156,0.998866617679596
labeled-data,2022-07-04_101_EB017_eyeCamLeft,img77510.png,493.39166259765625,65.13114166259766,0.9997585415840149,499.59747314453125,82.78223419189453,0.9999919533729553,506.81842041015625,72.73908233642578,0.9999650716781616,487.3851318359375,78.88232421875,0.9998387694358826,473.5585021972656,32.089927673339844,0.6893805861473083,500.2765808105469,121.810302734375,0.9503957629203796,545.2267456054688,77.12937927246094,0.31722161173820496,422.50274658203125,86.67015838623047,0.9896752834320068,8.422048568725586,233.48199462890625,0.9981462359428406,225.23622131347656,194.21273803710938,0.9995318055152893,263.82171630859375,190.52438354492188,0.993841826915741,246.78335571289062,231.4710235595703,0.9658506512641907,95.92149353027344,297.7942199707031,0.9149107336997986,195.91989135742188,341.6435852050781,0.9825047254562378,261.6617736816406,203.9722137451172,0.012938492000102997,131.8751983642578,463.7734680175781,0.9989768862724304
labeled-data,2022-07-04_101_EB017_eyeCamLeft,img86087.png,496.4881286621094,65.32938385009766,0.9995556473731995,500.8477478027344,81.01595306396484,0.9999569654464722,507.53448486328125,72.32335662841797,0.9997197985649109,488.32794189453125,77.0482177734375,0.9994790554046631,480.2501525878906,29.096439361572266,0.7009543776512146,501.1932678222656,123.05453491210938,0.8488515019416809,545.9395141601562,77.99931335449219,0.025257224217057228,427.138671875,88.8656234741211,0.9870479702949524,11.405563354492188,238.35092163085938,0.9995949864387512,220.4230194091797,193.579345703125,0.9974028468132019,257.8310241699219,194.47726440429688,0.9985887408256531,236.58558654785156,236.74465942382812,0.9972582459449768,88.04077911376953,297.7041015625,0.999443769454956,163.21881103515625,353.7017822265625,0.9977813959121704,178.19947814941406,370.58172607421875,0.017063934355974197,129.21311950683594,467.06683349609375,0.9930905103683472
